cid,Molecular_weight,LogP,Number_of_HBA_1,Number_of_HBA_2,Number_of_HBD_1,Number_of_HBD_2,Number_of_acidic_groups,Number_of_aliphatic_OH_groups,Number_of_basic_groups,Fraction_of_rotatable_bonds,Number_of_heavy_bonds,Number_of_heterocycles,Number_of_hydrophobic_groups,MolarRefractivity,Number_of_atoms,Number_of_halogen_atoms,Number_of_B_atoms,Number_of_Br_atoms,Number_of_Cl_atoms,Number_of_I_atoms,Number_of_F_atoms,Number_of_N_atoms,Number_of_O_atoms,Number_of_P_atoms,Number_of_S_atoms,Number_of_bonds,Number_of_NO2_groups,Number_of_SO_groups,Number_of_OSO_groups,Number_of_SO2_groups,PolarSurfaceArea,Geometrical_diameter,Geometrical_radius,Geometrical_shape_coefficient,Kier_shape_1,Kier_shape_2,Zagreb_group_index_1,Zagreb_group_index_2
70621488,177.590996742249,2.1484,13,5,3,0,0,0,0,0.111111111111111,9,1,0,48.5721,19,1,0,0,1,0,0,3,2,0,0,17,0,0,0,0,68.87,7.01750300767627,0.144457086184123,47.5784615559243,13.5802469135802,6.69421487603306,68,63
70621697,140.145998001099,2.0397,12,4,2,0,0,0,0,0.111111111111111,9,1,0,44.0962,18,0,0,0,0,0,0,4,1,0,0,17,0,0,0,0,68.87,6.86319844075468,1.01035137565919,5.79288275950223,10,4.7603305785124,72,63
70621707,224.307996273041,5.7333,24,4,2,1,0,0,1,0.266666666666667,15,1,0,86.188,36,0,0,0,0,0,0,4,1,0,0,35,0,0,0,0,73.31,7.55357131042038,1.00736582331898,6.49833986379801,16,10.1730103806228,168,147
74219084,137.097997546196,0.7522,8,5,0,0,0,0,0,0.2,10,1,0,35.3285,13,0,0,0,0,0,0,3,2,0,0,13,0,0,0,0,72.28,7.2767720093899,1.08439185600069,5.71046353688704,8.1,4,59,62
75420757,238.077995896339,3.3456,15,6,4,0,0,0,2,0.166666666666667,12,1,0,64.5021,23,2,0,0,2,0,0,5,1,0,0,21,0,0,0,0,107.25,9.19550885713725,0.162991696482138,55.4170387547625,16.4305555555556,8.32,87,84
79194473,162.151997327805,1.34628,11,5,1,1,0,0,0,0.166666666666667,12,1,0,45.9909,18,0,0,0,0,0,0,4,1,0,0,18,0,0,0,0,78.67,8.02423104406051,1.01124435184561,6.93500703308314,10.0833333333333,4.88888888888889,84,83
79195419,148.124997615814,0.66158,9,5,1,1,0,0,0,0.181818181818182,11,1,0,38.9109,15,0,0,0,0,0,0,4,1,0,0,15,0,0,0,0,78.67,7.07017488797237,1.01147854702901,5.98994052690429,9.09090909090909,4.79289940828402,68,71
82280241,162.151997327805,1.36838,11,5,1,1,0,0,0,0.25,12,1,0,45.8319,18,0,0,0,0,0,0,4,1,0,0,18,0,0,0,0,78.67,7.91763143251075,1.0181190102826,6.77672487454397,10.0833333333333,5.61224489795918,84,85
84819943,202.01099729538,1.7127,8,4,1,0,0,0,0,0.1,10,1,0,41.8663,14,1,0,1,0,0,0,3,1,0,0,14,0,0,0,0,68.87,7.04611879481157,1.0113516546352,5.96703145984684,8.1,3.40828402366864,64,66
87669721,199.260000348091,1.1275,11,6,2,2,0,0,0,0.25,12,1,0,56.2769,17,0,0,0,0,0,0,3,1,0,2,17,0,0,0,0,125.77,8.13241271216073,1.01650201663993,7.00039014092921,10.0833333333333,4.88888888888889,77,81
87768293,151.124997258186,0.8857,10,5,1,0,0,0,0,0.181818181818182,11,1,0,40.6108,16,0,0,0,0,0,0,3,2,0,0,16,0,0,0,0,85.94,8.26257894304704,1.01173103842149,7.16677420111413,9.09090909090909,4.13265306122449,73,75
